Implementing Agency,Sector/Cluster,Activity Category,Org Type,District,Sub Dstrict,Village,Place Name,Activity,Materials/Service Provided,Primary Beneficiary,# of Primary Beneficiaries,Status,Start Date,End Date
MoH/Dinkes/UNFPA,Health,,Government,Sigi,Marawola,Beka,Beka Yard,ANC and FP services,,"WRA, Pregnant Mother, Post delivery mother",,completed,43382,43382
MoH/Dinkes/UNFPA,Health,,Government,Palu,Ulujadi,Donggala Kodi,Donggala Kodi Atas,Kits distribution,,"WRA, Pregnant Mother, Post delivery mother",,completed,43383,43383
MoH/Dinkes/UNFPA,Health,,Government,Palu,Ulujadi,Donggala Kodi,Donggala Kodi Atas,RH tent established,,"WRA, Pregnant Mother, Post delivery mother",,completed,43383,43383
MoH/Dinkes/UNFPA,Health,,Government,Palu,Ulujadi,Donggala Kodi,Donggala Kodi Atas,RH session,,"WRA, Pregnant Mother, Post delivery mother",,completed,43383,43383
MoH/Dinkes/UNFPA,Health,,Government,Palu,Ulujadi,Donggala Kodi,Donggala Kodi Atas,ANC and FP services,,"WRA, Pregnant Mother, Post delivery mother",,completed,43383,43383
MoH/Dinkes/UNFPA,Health,,Government,Palu,Palu Timur,Besusu Timur,RH tent Vatulemo,assessment  coordination and Establish RH tent,,Woman at reproductive age,,completed,43384,43388
MoH/Dinkes/UNFPA,Health,,Government,Palu,Palu Barat,Siranindi,RH tent Mesjid Agung,assessment  coordination and Establish RH tent,,Woman at reproductive age,,completed,43384,43388
MoSA-DINSOS/UNICEF,Child protection,,Government,Palu,Mantikulore,Tanamodindi,Dinas Sosial Provinsi,Psychosocial support activity  Child Friendly Spaces  FTR,,children,,ongoing,Oct-03-2018,Mar-30-2019
MoSA-DINSOS/UNICEF,Child protection,,Government,Palu,Mantikulore,Tanamodindi,BRSPD Nipotowe,FTR  coordination,,Children,,ongoing,Oct-06-2018,
MoSA-DINSOS/UNICEF,Child protection,,Government,Palu,Mantikulore,Tanamodindi,Pos Rumah Jabatan Wakil Walikoa Palu (Vatumelo) Jl. Balaikota,FTR  coordination  recreational,,Children,,,,
MoSA-DINSOS/UNICEF,Child protection,,Government,Palu,Palu Selatan,Petobo,Posko Pengungsian Petobo,children activity  FTR,,Children,,ongoing,Oct-13-2018,
MoSA-DINSOS/UNICEF,Child protection,,Government,Palu,Mantikulore,Kawatuna,Posko Kawatuna,children activity  FTR,,Children,,ongoing,Oct-13-2018,
MoSA-DINSOS/UNICEF,Child protection,,Government,Palu,Palu Barat,Balaroa,Posko Balaroa,children activity  FTR,,Children,,ongoing,Oct-13-2018,
MoSA-DINSOS/UNICEF,Child protection,,Government,Donggala,Banawa,Gunung Bale,Posko Donggala SMP 1 Bajawa,children activity  FTR,,Children,,ongoing,Oct-09-2018,
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Kawatuna,Kamp. Pengungsi,Distribution,,Households,,ongoing,Oct-01-2018,Oct-01-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Tanamodindi,Kamp. Pengungsi,Distribution,,Households,,ongoing,Oct-01-2018,Oct-01-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Kamp. Pengungsi Lapangan Vatulemo,Distribution,,Households,,ongoing,Oct-02-2018,Oct-02-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Talise,Kamp. Pengungsi Lapangan Talise Walangguni,Distribution,,Households,,ongoing,Oct-02-2018,Oct-02-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Lasoani,Kamp. Pengungsi,Distribution,,Households,,ongoing,Oct-02-2018,Oct-02-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Kamp. Pengungsian RRI,Distribution,,Households,,ongoing,Oct-03-2018,Oct-03-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Kamp. Pengungsi Ongka Malino,Distribution,,Households,,ongoing,Oct-03-2018,Oct-03-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Tanamodindi,Jl. Maleo,Distribution,,Households,,ongoing,Oct-04-2018,Oct-04-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Kawatuna,Lapangan Kawatuna,Distribution,,Households,,ongoing,Oct-04-2018,Oct-04-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Kawatuna,BTN Korpri Kawatuna,Distribution,,Households,,ongoing,Oct-04-2018,Oct-04-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Kawatuna,BTN Korpri Kawatuna RT. 03/RW. 06,Distribution,,Households,,ongoing,Oct-04-2018,Oct-04-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Talise,Jl. Hangtuah,Distribution,,Households,,ongoing,Oct-04-2018,Oct-04-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Tanambulava,Sibalaya Utara,RT. 2 Desa Sibalaya,Distribution,,Households,,ongoing,Oct-05-2018,Oct-05-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Kotarindau,Masjid Al-Istiqomah,Distribution,,Households,,ongoing,Oct-05-2018,Oct-05-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Petobo,Kelurahan Petobo,Distribution,,Households,,ongoing,Oct-05-2018,Oct-05-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Boya,Distribution,,Households,,ongoing,Oct-04-2018,Oct-04-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Gunung Bale,Gunung Bale,Distribution,,Households,,ongoing,Oct-05-2018,Oct-05-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boneoge,Boneoge,Distribution,,Households,,ongoing,Oct-05-2018,Oct-05-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boneoge,Boneoge,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Talise Valangguni,BTN Lagarutu,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Lasoani,BTN Lasoani,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Lasoani,Jl. Maleo,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Birobuli Utara,Pengungsi BMKG,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Ulujadi,Donggala Kodi,Jl. Kedondong,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Barat,Kamonji,Jl. Pulau Indah,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boneoge,Kantor Kecamatan,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boneoge,Sekolah,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boneoge,Camp. Pengungsi RT 10,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boneoge,Camp. Pengungsi RT 9,Distribution,,Households,,ongoing,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Tanambulava,Sibalaya Utara,Tempat Pengungsian,Distribution,,Households,,ongoing,Oct-05-2018,Oct-05-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Birobuli Selatan,Lapangan AU,Distribution,,Households,,ongoing,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Ulujadi,Silae,Silae,Distribution,,Households,,ongoing,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Sidera,Sidera,Distribution,,Households,,ongoing,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Langaleso,Langaleso,Distribution,,Households,,ongoing,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Barat,Siranindi,Jl. Siranindi,Distribution,,Households,,ongoing,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Barat,Kamonji,Masjid Agung,Distribution,,Households,,ongoing,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Labuan Bajo,Camp Tanjung Karang,Distribution,,Households,,ongoing,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boneoge,Boneoge,Distribution,,Households,,ongoing,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Camp Pelabuhan,Distribution,,Households,,ongoing,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Ganti,Kulolu,Distribution,,Households,,ongoing,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Jono Oge,Jono Oge,Distribution,,Households,,ongoing,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Gunung Bale,Dusun I,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Labuan Bajo,Camp Atas,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Labuan Bajo,Tanjung Karang,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Labuan Bajo,Tanjung Karang,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boneoge,Boneoge,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Taipa,RW. 5,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Mamboro,Mamboro,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Kayumalue Pajeko,Kayumalue Pajeko,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Tawaeli,Pantoloan,Pantoloan,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Tanamodindi,Jl. Maleo Atas,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Ganti,Kulolu,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Ganti,Kulolu RT 1,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Lolu,tempat pengungsian,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Jono Oge,tempat pengungsian,Distribution,,Households,,ongoing,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Labuan Bajo,Camp Atas,Distribution,,Households,,ongoing,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Labuan Bajo,Rw 3 Rt 1,Distribution,,Households,,ongoing,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boneoge,RW 1&3 RT 1&10,Distribution,,Households,,ongoing,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Sidera,Sidera,Distribution,,Households,,ongoing,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Mamboro,Kantor Camat Palu Utara,Distribution,,Households,,ongoing,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Taipa,RT 01/RW.05,Distribution,,Households,,ongoing,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Talise,Kompleks Perdos,Distribution,,Households,,ongoing,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Petobo,Lapangan Petobo-Ngata Baru,Distribution,,Households,,ongoing,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Sindue,Lero,Jl. Trans Sulawesi,Distribution,,Households,,ongoing,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Sindue,Lero,Dusun Nosimpotove,Distribution,,Households,,ongoing,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Sindue,Toaya,Posko PMI,Distribution,,Households,,ongoing,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Sidera,Sidera,Distribution,,Households,,ongoing,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Sidera,Sidera,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Jono Oge,Jono Oge,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Lolu,Lolu,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Talise,Kampus Unismuh,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Ulujadi,Donggala Kodi,Palu,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Barat,Balaroa,Balaroa,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Talise,Talise,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Sindue,Lero Tatari,SMp 2 Lero,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Sindue,Lero Tatari,Lapangan Sanggola,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Tanambulava,Sibalaya Utara,Sibalaya Utara,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Tanambulava,Sibowi,Dusun3 RT 2,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Sidera,Sidera,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Jono Oge,Posko 1 & 2,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Lolu,Lolu,Distribution,,Households,,ongoing,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Tanambulava,Sibowi,Sibowi,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Sidera,Sidera,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Jono Oge,Jono Oge,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Mpanau,Mpanau,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Lolu,Lolu,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa Tengah,Salubomba,Salubomba,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Petobo,Petobo,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Birobuli Utara,Birobuli Utara,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Labuan Bajo,Tanjung Karang,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa Tengah,Limboro,Pengungsian Limboro,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa Tengah,Salubomba,Pengungsian Salubomba,Distribution,,Households,,ongoing,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Sindue,Kavaya,Kavaya,Distribution,,Households,,completed,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Loli Saluran,Loli Saluran,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Loli Pesua,Loli Pesua,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Kabonga Kecil,Kabonga Kecil,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Soulowe,Soulowe,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Labuan Bajo,Labuan Bajo,Distribution,,Households,,completed,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa Tengah,Salubomba,Salubomba,Distribution,,Households,,completed,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Boya,Distribution,,Households,,completed,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Gunung Bale,Gunung Bale,Distribution,,Households,,completed,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Boya,Distribution,,Households,,completed,Oct-14-2018,Oct-14-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Jono Oge,Jono Oge,Distribution,,Households,,completed,Oct-14-2018,Oct-14-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo,Soulowe,Soulowe,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Palolo,,Palolo,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Gumbasa,,Gumbasa,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo,Kotarindau,Markas PMI Sigi,Medical Service,,General population,,ongoing,Oct-01-2018,Oct-01-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-01-2018,Oct-01-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo,Kotarindau,Markas PMI Sigi,Medical Service,,General population,,ongoing,Oct-02-2018,Oct-02-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-02-2018,Oct-02-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-03-2018,Oct-03-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Gunung Bale,Lapangan Gunung Bale,Medical Service,,General population,,ongoing,Oct-03-2018,Oct-03-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo,Kotarindau,Markas PMI Sigi,Medical Service,,General population,,ongoing,Oct-03-2018,Oct-03-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo,Kotarindau,Markas PMI Sigi,Medical Service,,General population,,ongoing,Oct-04-2018,Oct-04-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Tanambulava,Sibalaya Utara,Kantor Camat,Medical Service,,General population,,ongoing,Oct-04-2018,Oct-04-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Markas PMI Donggala,Medical Service,,General population,,ongoing,Oct-04-2018,Oct-04-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Tanantovea,Wani I,Lumbung Petigo,Medical Service,,General population,,ongoing,Oct-04-2018,Oct-04-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo,Kotarindau,Markas PMI Sigi,Medical Service,,General population,,ongoing,Oct-04-2018,Oct-04-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Utara,Mamboro Barat,RS Mamboro,Medical Service,,General population,,ongoing,Oct-04-2018,Oct-04-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Barat,Baru,Markas PMI Palu,Medical Service,,General population,,ongoing,Oct-04-2018,Oct-04-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Markas PMI Donggala,Medical Service,,General population,,ongoing,Oct-05-2018,Oct-05-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo,Kotarindau,Markas PMI Sigi,Medical Service,,General population,,ongoing,Oct-05-2018,Oct-05-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Kulawi,Salua,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-05-2018,Oct-05-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Jono Oge,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-05-2018,Oct-05-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Gunung Bale,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-05-2018,Oct-05-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-05-2018,Oct-05-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Markas PMI Donggala,Medical Service,,General population,,ongoing,Oct-06-2018,Oct-06-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo Barat,Pewunu,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-06-2018,Oct-06-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Mantikulore,Lasoani,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-06-2018,Oct-06-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-06-2018,Oct-06-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Kabonga Kecil,Kantor lurah,Medical Service,,General population,,ongoing,Oct-07-2018,Oct-07-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Kabonga Kecil,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-07-2018,Oct-07-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo,Kotarindau,Markas PMI Sigi,Medical Service,,General population,,ongoing,Oct-07-2018,Oct-07-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Gumbasa,Tuwa,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-07-2018,Oct-07-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Mantikulore,Tondo,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-07-2018,Oct-07-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-07-2018,Oct-07-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Markas PMI Donggala,Medical Service,,General population,,ongoing,Oct-08-2018,Oct-08-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo Selatan,Baluase,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-08-2018,Oct-08-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo Selatan,Sambo,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-08-2018,Oct-08-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-08-2018,Oct-08-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo Selatan,Pulu,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-09-2018,Oct-09-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Gumbasa,Pakuli,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-09-2018,Oct-09-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Boneoge,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-09-2018,Oct-09-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Gumbasa,Omu,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-09-2018,Oct-09-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Selatan,Petobo,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-09-2018,Oct-09-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-09-2018,Oct-09-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa Tengah,Limboro,Limboro,Medical Service,,General population,,ongoing,Oct-10-2018,Oct-10-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Labuan,Labuan Lelea,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-10-2018,Oct-10-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo,Kota Pulu,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-10-2018,Oct-10-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo Selatan,Rogo,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-10-2018,Oct-10-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Pombewe,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-10-2018,Oct-10-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Tanambulava,Sibalaya Utara,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-10-2018,Oct-10-2018
